Kpx,Kpa,Kda,MaxAngle, Overshoot, J
49.886658,0.000000,0.000000,0.055351,0.000000,3608.188443
34.991138,0.000000,0.000000,0.055351,0.000000,3608.188443
30.995701,47.702287,0.104521,21.580172,21.687467,68.602363
44.340662,56.074983,0.949828,22.104901,19.094058,67.957933
64.898643,44.870904,1.122834,22.104901,18.747965,74.457602
64.583616,0.300786,0.000000,22.104901,11.333059,45.477175
48.888450,22.634231,0.394975,22.104901,18.291420,71.842136
92.243186,0.000000,0.000000,0.055351,0.000000,3608.188443
62.271655,5.789270,0.000000,22.104901,17.617558,76.378455
24.365702,0.000000,0.243385,3.872578,0.000000,3122.704618
84.245209,0.000000,0.000000,0.055351,0.000000,3608.188443
94.155108,16.538460,0.000000,22.104901,16.211210,82.215391
45.060872,0.000000,0.000000,0.055351,0.000000,3608.188443
66.349376,70.785144,0.000000,22.104901,15.853230,76.298832
0.000000,24.324823,1.083506,1.037475,0.000000,3639.545437
55.005178,0.000000,0.912234,4.986197,0.000000,3199.947305
52.409367,9.696627,0.000000,22.104901,17.463519,74.104243
0.000000,0.000000,2.000000,0.633945,0.000000,3629.533847
81.698682,80.003237,0.000000,22.104901,17.013858,82.386596
100.000000,25.608314,0.224177,22.104901,17.715696,85.509826
34.171774,0.000000,0.000000,0.055351,0.000000,3608.188443
42.746783,45.450190,0.387804,22.104901,19.519322,70.560480
67.825198,68.038814,1.110443,22.104901,17.730756,76.645722
0.000000,31.236790,0.908468,1.053079,0.000000,3644.569771
68.155584,5.066388,0.792507,22.104901,10.534394,53.569434
96.227597,0.000000,0.000000,0.055351,0.000000,3608.188443
100.000000,13.035199,0.000000,22.104901,15.423622,81.755006
93.566299,75.630458,0.849014,22.104901,18.130954,90.393105
41.971475,3.754289,0.000000,22.104901,17.482764,71.180331
82.175960,62.002342,0.009999,22.104901,17.013858,82.301506
94.250840,37.270822,0.000000,22.104901,16.265442,82.821176
60.043637,0.000000,0.412135,4.986197,0.000000,3181.177385
40.708095,35.918519,0.000000,22.104901,16.929283,72.047473
54.753293,31.822094,0.000000,22.104901,16.750332,74.956622
17.719424,56.676085,0.868214,14.009564,22.724310,60.744036
80.805310,100.000000,0.000000,22.104901,17.013858,80.098172
51.559991,22.616927,2.000000,22.104901,15.291249,57.081440
51.859268,23.582304,1.335805,22.104901,17.233784,61.607262
100.000000,7.557733,0.368803,22.104901,18.101721,83.924665
8.856848,56.808747,0.223910,9.617189,38.618907,77.466365
14.605178,0.000000,0.667455,3.716046,0.000000,2939.790346
72.300539,0.000000,0.000000,0.055351,0.000000,3608.188443
100.000000,36.413562,0.000000,22.104901,15.482678,79.548820
98.473719,0.000000,0.339034,6.130599,0.000000,3221.870486
7.451879,39.613456,0.126079,8.476789,47.200015,83.989920
83.108875,13.820630,0.000000,22.104901,16.819124,81.189619
100.000000,20.868616,0.053129,22.104901,17.529559,88.100857
57.425569,9.179420,0.354448,22.104901,18.677336,70.021393
38.942306,7.688086,2.000000,13.019479,3.050265,45.676911
74.918239,0.000000,0.000000,0.055351,0.000000,3608.188443
50.681166,0.000000,0.000000,0.055351,0.000000,3608.188443
65.803736,0.000000,0.000000,0.055351,0.000000,3608.188443
71.174519,0.000000,0.265733,5.262909,0.000000,3136.267636
73.446288,0.000000,0.000000,0.055351,0.000000,3608.188443
62.879548,0.000000,0.000000,0.055351,0.000000,3608.188443
77.738551,1.244383,0.379608,18.411741,2.298683,47.814262
33.659210,14.908854,0.000000,22.104901,17.545034,70.440357
100.000000,0.000000,0.000000,0.055351,0.000000,3608.188443
74.004870,0.000000,1.618753,5.068137,0.000000,3187.324652
97.817235,73.905937,0.918432,22.104901,18.635245,90.596239
81.462483,0.000000,0.000000,0.055351,0.000000,3608.188443
51.893863,1.471338,0.311652,18.486930,6.204579,45.828491
87.401557,0.000000,0.000000,0.055351,0.000000,3608.188443
90.185896,42.833506,0.178212,22.104901,18.923226,85.237391
89.541294,20.967851,0.340788,22.104901,17.703748,86.778955
76.836867,23.681437,0.438229,22.104901,19.036217,80.640415
100.000000,0.000000,2.000000,6.130599,0.000000,3194.837068
60.790874,67.844940,0.000000,22.104901,15.706112,74.413990
76.742781,28.316423,0.133962,22.104901,17.582316,80.574809
47.913736,37.251767,0.323040,22.104901,19.018658,72.370723
32.642342,0.000000,0.000000,0.055351,0.000000,3608.188443
0.000000,42.281049,0.107390,2.279130,0.000000,3574.624159
61.914891,0.421515,0.294521,10.245838,0.567884,54.259343
30.419373,0.000000,0.613237,3.976055,0.000000,3209.980694
20.155494,0.000000,0.000000,0.055351,0.000000,3608.188443
91.356135,0.000000,0.000000,0.055351,0.000000,3608.188443
95.003908,14.328658,1.072015,22.104901,16.104659,73.895455
49.537629,27.985348,0.000000,22.104901,17.646201,72.281481
