Cnt,Particle,Generation,Kpx,Kpa,Kda,MaxAngle, Overshoot, J
191,51,3,0,19.24875,0.140763,1.752288,0,3626.957706
192,52,3,46.335085,11.004824,0.82864,22.104901,16.214036,59.220031
193,53,3,100,11.958771,1.789303,22.104901,10.873461,57.078724
194,54,3,38.100383,0.333261,0.505849,4.986197,0,150.308328
195,55,3,0,0,0.460836,0.627517,0,3600.664674
196,56,3,15.515734,78.363194,0,14.009564,22.253321,65.78818
197,57,3,74.566866,100,0,22.104901,17.86418,80.258237
198,58,3,100,16.93366,0,22.104901,15.564523,81.680062
199,59,3,49.356717,0,0,0.055351,0,3608.188443
200,60,3,100,11.214909,2,22.104901,10.145051,59.509179
201,61,3,69.469306,19.875358,2,22.104901,13.215463,60.216809
202,62,3,100,0,0.669436,6.130599,0,3262.15072
203,63,3,44.23577,91.868176,0,22.104901,16.476247,70.81492
204,64,3,11.914164,27.057149,0.457471,9.617189,36.223582,68.663635
205,65,3,0,0,0,0.055351,0,3608.188443
206,66,3,100,32.19747,0,22.104901,15.500392,80.279372
207,67,3,70.654889,23.272349,0.025422,22.104901,17.555227,78.381339
208,68,3,36.539682,1.826814,1.556924,6.824792,0,73.520004
209,69,3,34.619866,0,0,0.055351,0,3608.188443
210,0,4,0,0,1.084563,0.641906,0,3611.784932
211,1,4,42.389823,21.097042,0,22.104901,17.798506,74.33641
212,2,4,46.008957,29.601548,1.0024,22.104901,18.306027,64.983295
213,3,4,50.333422,0,0,0.055351,0,3608.188443
214,4,4,3.907677,0,0.017888,1.550851,0,3502.100148
215,5,4,87.792778,13.871354,0,22.104901,17.315838,83.647864
216,6,4,0,0,0.007228,0.059326,0,3608.155774
217,7,4,0.697291,0,0.005807,0.141384,0,3601.761788
218,8,4,0,1.57707,0.04643,0.152557,0,3605.131329
219,9,4,65.853262,43.586231,0.444965,22.104901,18.246494,76.105386
220,10,4,34.081549,0,0,0.055351,0,3608.188443
221,11,4,50.157385,46.82318,0.224885,22.104901,18.432482,72.953027
222,12,4,0.099296,0,0.020358,0.061473,0,3604.831589
223,13,4,81.385717,0,0.05813,5.608221,0,3198.461854
224,14,4,100,4.155866,0.058691,22.104901,19.32537,97.92693
225,15,4,53.908514,0,0.381073,4.986197,0,3153.566519
226,16,4,92.480842,100,1.309117,22.104901,18.110874,86.722918
227,17,4,20.659929,0,1.492693,3.872578,0,2973.80653
228,18,4,17.484819,0,0.203614,3.866777,0,3172.279005
229,19,4,84.554981,2.15091,0,22.104901,17.675152,83.510586
230,20,4,100,53.980794,0.058335,22.104901,15.520997,84.816594
231,21,4,52.209923,0,0.001882,3.544599,0,3475.513793
232,22,4,90.884537,8.075657,0.477833,22.104901,16.599161,73.920501
233,23,4,19.634772,7.797517,0.929159,10.618566,14.1833,44.182653
234,24,4,95.276077,0,0.010789,6.07913,0,3294.075706
235,25,4,87.843513,47.398495,0.378946,22.104901,18.591673,88.516225
236,26,4,100,0,0,0.055351,0,3608.188443
237,27,4,0,0,0,0.055351,0,3608.188443
238,28,4,0,0,0,0.055351,0,3608.188443
239,29,4,0,51.2774,1.084839,1.31405,0,3656.085871
240,30,4,39.945399,0.989988,1.032643,6.321852,0,79.474874
241,31,4,99.193707,38.331938,0.14584,22.104901,17.338631,86.31142
242,32,4,0,0,0.249323,0.797963,0,3745.542744
243,33,4,6.123607,0,0.3664,2.593252,0,3338.148147
244,34,4,79.179181,0,0,0.055351,0,3608.188443
245,35,4,1.380235,0,0.016773,0.544503,0,3571.478462
246,36,4,13.783204,37.623625,0.051198,13.002718,30.802051,69.478171
247,37,4,65.325617,47.487292,0.502308,22.104901,17.956591,75.918522
248,38,4,69.340399,23.690124,1.304941,22.104901,17.394161,69.787351
249,39,4,0,7.938165,2,0.639661,0,3629.82209
250,40,4,32.235161,53.278716,0.597183,21.622634,20.291917,66.214569
251,41,4,4.646671,0,0.030134,2.101729,0,3435.399804
252,42,4,13.718852,0,0.536207,3.251453,0,3429.921735
253,43,4,46.791017,0,0.304845,4.986197,0,3173.389422
254,44,4,52.938429,0.705556,1.055204,6.195542,0,103.399533
255,45,4,50.39532,100,0.489686,22.104901,18.086401,72.881112
256,46,4,13.548568,12.611751,0.353325,9.840087,26.129641,58.899397
